month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
31.01.16,0,ZG,0,0,0,0,0,0,,,0,0,0,,,2361,78376,0
31.01.16,0,ZH,0,0,0,0,0,0,,,0,0,0,,,4356,943505,0
31.01.16,0,BE,0,0,0,0,0,0,,,0,0,0,,,3180.9,622339,0
31.01.16,0,LU,0,0,0,0,0,0,,,0,0,0,,,2629.7,251486,0
31.01.16,0,UR,0,0,0,0,0,0,,,0,0,0,,,3004.4892,21652,0
31.01.16,0,SZ,0,0,0,0,0,0,,,0,0,0,,,3063.45,98333,0
31.01.16,0,OW,0,0,0,0,0,0,,,0,0,0,,,2726.3,23026,0
31.01.16,0,NW,0,0,0,0,0,0,,,0,0,0,,,2541,26417,0
31.01.16,0,GL,0,0,0,0,0,0,,,0,0,0,,,3362,24584,0
31.01.16,0,FR,0,0,0,0,0,0,,,0,0,0,,,3103.05,193603,0
31.01.16,0,SO,0,0,0,0,0,0,,,0,0,0,,,3331.65,166200,0
31.01.16,0,BS,0,0,0,0,0,0,,,0,0,0,,,4857,121641,0
31.01.16,0,BL,0,0,0,0,0,0,,,0,0,0,,,3542,169564,0
31.01.16,0,SH,0,0,0,0,0,0,,,0,0,0,,,3383,48813,0
31.01.16,0,AR,0,0,0,0,0,0,,,0,0,0,,,3390,33434,0
31.01.16,0,AI,0,0,0,0,0,0,,,0,0,0,,,2838,9527,0
31.01.16,0,SG,0,0,0,0,0,0,,,0,0,0,,,3475.5,309354,0
31.01.16,0,GR,0,0,0,0,0,0,,,0,0,0,,,3747,121002,0
31.01.16,0,AG,0,0,0,0,0,0,,,0,0,0,,,3021.2,415503,0
31.01.16,0,TG,0,0,0,0,0,0,,,0,0,0,,,3286,169396,0
31.01.16,0,TI,0,0,0,0,0,0,,,0,0,0,,,4356.3,211291,0
31.01.16,0,VD,0,0,0,0,0,0,,,0,0,0,,,4422.21,483842,0
31.01.16,0,VS,0,0,0,0,0,0,,,0,0,0,,,2812.5,206913,0
31.01.16,0,NE,0,0,0,0,0,0,,,0,0,0,,,3126,107176,0
31.01.16,0,GE,0,0,0,0,0,0,,,0,0,0,,,4892,305371,0
31.01.16,0,JU,0,0,0,0,0,0,,,0,0,0,,,4408.6,42677,0
29.02.16,29,ZG,0,0,0,0,0,0,,,0,0,0,,,2361,78376,0
29.02.16,29,ZH,0,0,0,0,0,0,,,0,0,0,,,4356,943505,0
29.02.16,29,BE,0,0,0,0,0,0,,,0,0,0,,,3180.9,622339,0
29.02.16,29,LU,0,0,0,0,0,0,,,0,0,0,,,2629.7,251486,0
29.02.16,29,UR,0,0,0,0,0,0,,,0,0,0,,,3004.4892,21652,0
29.02.16,29,SZ,0,0,0,0,0,0,,,0,0,0,,,3063.45,98333,0
29.02.16,29,OW,0,0,0,0,0,0,,,0,0,0,,,2726.3,23026,0
29.02.16,29,NW,0,0,0,0,0,0,,,0,0,0,,,2541,26417,0
29.02.16,29,GL,0,0,0,0,0,0,,,0,0,0,,,3362,24584,0
29.02.16,29,FR,0,0,0,0,0,0,,,0,0,0,,,3103.05,193603,0
29.02.16,29,SO,0,0,0,0,0,0,,,0,0,0,,,3331.65,166200,0
29.02.16,29,BS,0,0,0,0,0,0,,,0,0,0,,,4857,121641,0
29.02.16,29,BL,0,0,0,0,0,0,,,0,0,0,,,3542,169564,0
29.02.16,29,SH,0,0,0,0,0,0,,,0,0,0,,,3383,48813,0
29.02.16,29,AR,0,0,0,0,0,0,,,0,0,0,,,3390,33434,0
29.02.16,29,AI,0,0,0,0,0,0,,,0,0,0,,,2838,9527,0
29.02.16,29,SG,0,0,0,0,0,0,,,0,0,0,,,3475.5,309354,0
29.02.16,29,GR,0,0,0,0,0,0,,,0,0,0,,,3747,121002,0
