name,location,industry,description,followers,linkedin_url
Tabet Advisory,Zug,Investment Advice,Specialties: Crypto for Institutional Investors,1 follower,https://www.linkedin.com/company/tabet-advisory/
The DeFi Dozen Association,Zurich,Information Technology & Services,"A tokenized index, tracking the 12 largest DeFi projects, operated via Smart Contracts, and DAO-governed • Specialties: Crypto",12 followers,https://www.linkedin.com/company/the-defi-dozen/
Association La Baleine,"Sion, Valais",Wellness and Fitness Services,Démocratiser les crypto-monnaies auprès du grand public.,9 followers,https://www.linkedin.com/company/association-la-baleine/
Jur Network,"Baar, Zugo",Legal Services,Specialties: Crypto,11 followers,https://www.linkedin.com/company/jurnetwork/
ChainAngels,Zug,Blockchain Services,"As crypto enthusiasts, we know the true potential of blockchain technology and how it can unlock countless opportunities for innovation and growth. That's why we've created this group – a community of blockchain and crypto startups who are dedicated to exploring the potential of this revolutionary technology. Whether...",10 followers,https://www.linkedin.com/company/chainangels/
Tech Bureau Europe SA,"Zoug, Zug",IT Services and IT Consulting,"Tech Bureau Europe SA incorporated in Zug aka the “Crypto Valley”, Switzerland in December 2017, the centre of attraction for companies, among which...",15 followers,https://www.linkedin.com/company/tech-bureau-europe-sa/
Kelabereit SAS,Switzerland,Information Technology & Services,collaborate to drive and deliver your blockchain and data privacy projects • Specialties: Crypto Economics,9 followers,https://www.linkedin.com/company/kelabereit/
Block3 Marketing,Zurich,Marketing Services,"We help Web3 companies successfully launch DApps, DeFi protocols, and NFT projects • Specialties: Crypto community management",5 followers,https://www.linkedin.com/company/block-3-marketing/
Amantio,Zug / Zurich,Business Consulting and Services,We support financial institutions and fintechs adopting crypto.,13 followers,https://www.linkedin.com/company/amantio/
Jetonhouse,"Widnau, SG",Investment Management,"Jetonhouse is a collection of Swiss based, like minded professional individuals, pooling their passion and knowledge about politics, finance and crypto currencies. From this we offer consultancy, education and funds management.  ​",5 followers,https://www.linkedin.com/company/jetonhouse/
"Anchor, AG","Zug, Zug",Financial Services,Anchor is a new cryptocurrency introducing a truly stable peg of value for the first time on the global crypto-market. Anchor is modeled as a two-token system...,1K followers,https://www.linkedin.com/company/theanchor/
Bitkern Group,Zug,IT Services and IT Consulting,"Your Partner in the world of High-Performance Data Centers, Artificial Intelligence and Blockchain Technology • Specialties: Crypto",1K followers,https://www.linkedin.com/company/bitkerngroup/
