canton,weights
AI,0.07262379350390562
AR,0.07262379350398003
BE,-0.006604146068743842
BL,0.07262379350391594
BS,0.014852451061225668
FR,0.07262379350395202
GE,0.07285084327395577
GL,0.07262379350394559
GR,8.520800623882564e-4
JU,0.07262379350395096
LU,-0.001947216812944681
NE,0.07501864555511197
NW,0.07262379350398764
OW,0.00259300337944962
SG,0.12264352986656393
SH,0.0025930033794511332
SO,0.07262379350397596
SZ,-2.4783067247374915e-4
TG,0.07262379350397227
TI,-2.580891013551993e-4
UR,1.1475747542672175e-4
VD,-0.004824925944840841
VS,0.07262379350396447
ZG,-7.792251291119101e-4
ZH,-0.003094815367759259
