canton,weights
AG,2.894289424236349e-9
AI,0.11111110804241944
BE,3.092050410369489e-10
BL,0.11111110804242107
BS,1.07214637670995e-8
FR,0.1111111080424164
GE,-2.548788548067629e-9
GL,0.11111110804238596
GR,1.5137952347179104e-9
JU,0.1111111080424357
LU,1.9471206150435942e-9
NE,7.535302289040123e-10
NW,0.11111110804243922
OW,1.2022654294332919e-9
SG,2.672554716553586e-9
SH,1.2022654464997503e-9
SO,0.11111110804246076
SZ,2.8638237027097606e-9
TG,0.1111111080424334
TI,5.270510702223802e-10
UR,2.4672047087954943e-9
VD,1.6510566071916375e-9
VS,0.1111111080424226
ZG,-1.9391269447655402e-10
ZH,-3.6535657084916303e-10
