canton,weights
AG,0.602326120400134
AI,-0.05880720399593116
AR,-0.05880720399593107
BE,-0.5556877977887443
BL,-0.05880720399593008
BS,0.6707779686731741
FR,-0.05880720399592989
GL,-0.05880720399592984
GR,-0.19384671343732948
JU,-0.05880720399593051
LU,-0.09982607600571887
NE,0.7888684107706151
NW,-0.05880720399592996
OW,-0.247883376165795
SG,0.31851037090483447
SH,-0.2478833761657951
SO,-0.058807203995929695
SZ,0.4866137211676676
TG,-0.05880720399593024
TI,0.18782498704321127
UR,0.05733710190431589
VD,-0.2807737812236047
VS,-0.058807203995929966
ZG,0.0399381773211644
ZH,0.06177630256096312
