canton,weights
AG,1.0169544398887332e-6
AI,0.005097114188590356
AR,0.005097114188748393
BE,-7.235551681725018e-6
BL,0.0050971141886608715
BS,4.214609258334481e-7
FR,0.005097114188654801
GE,-1.3200321614662445e-5
GL,0.005097114188658382
JU,0.005097114188678738
LU,0.4151116963623113
NE,-1.1250346888334962e-5
NW,0.005097114188561284
OW,0.18743526014134357
SG,1.6409737727125453e-6
SH,0.18743526014126158
SO,0.005097114188970159
SZ,-3.6817822771228414e-6
TG,0.00509711418896837
TI,3.1507889884972374e-6
UR,0.15862395422566156
VD,-2.9361422198181855e-7
VS,0.005097114188919133
ZG,4.678749807549889e-4
ZH,-1.5756300486521522e-5
