canton,weights
AG,-3.708676258626947e-7
AI,0.010403233499949458
AR,0.010403233500060699
BE,0.13600239649347554
BL,0.010403233500070129
BS,3.894236294934333e-7
FR,0.010403233500064057
GE,-1.8396796823471596e-5
GL,0.01040323350006164
GR,0.571426862422593
JU,0.010403233499737265
NE,-6.39038030838261e-6
NW,0.010403233499734812
OW,4.30144192373658e-6
SG,-3.1421962921212743e-7
SH,4.301441923733698e-6
SO,0.010403233499754666
SZ,-6.175178789716989e-6
TG,0.010403233499754675
TI,-1.1730824943601298e-5
UR,0.18858064130114235
VD,1.489796308824442e-6
VS,0.010403233499753457
ZG,1.4151971857086905e-6
ZH,-1.075425228474458e-5
