canton,weights
AG,-3.0327359929379656e-6
AI,0.02171599652898535
AR,0.021715996529192396
BE,-7.072826450002445e-6
BL,0.02171599652921669
BS,-3.952647695438994e-6
FR,0.021715996529206087
GE,-3.263715005453636e-5
GL,0.021715996529208442
GR,1.7466015880686331e-6
JU,0.02171599652921267
LU,8.569153014834397e-7
NE,-1.2020107172808012e-5
NW,0.021715996529203734
OW,0.162920683943241
SG,3.970195747369809e-6
SH,0.16292068394325596
SO,0.02171599652918482
SZ,6.620664949174598e-7
TG,0.02171599652919321
TI,-1.6361175031442788e-5
UR,0.3557139718477366
VS,0.021715996529219492
ZG,4.085810788467698e-6
ZH,0.10134845002769069
