month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
2016-01-31,0,ZG,0,0,0,0,0,0,,,0,0,0,,,2361.0,78376.0,0.0
2016-01-31,0,ZH,0,0,0,0,0,0,,,0,0,0,,,4356.0,943505.0,0.0
2016-01-31,0,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-02-29,29,ZG,0,0,0,0,0,0,,,0,0,0,,,2361.0,78376.0,0.0
2016-02-29,29,ZH,0,0,0,0,0,0,,,0,0,0,,,4356.0,943505.0,0.0
2016-02-29,29,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-03-31,60,ZG,2,2,62,0,0,2,0.0,1.0,1,1,0,0.5,0.5,2361.0,78376.0,0.0
2016-03-31,60,ZH,0,0,0,0,0,0,,,0,0,0,,,4356.0,943505.0,0.0
2016-03-31,60,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-04-30,90,ZG,2,2,62,0,0,2,0.0,1.0,1,1,0,0.5,0.5,2361.0,78376.0,0.0
2016-04-30,90,ZH,2,632,16056,0,2,0,1.0,0.0,1,1,0,0.5,0.5,4356.0,943505.0,0.0
2016-04-30,90,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-05-31,121,ZG,3,83,2217,0,1,2,0.3333333333333333,0.6666666666666666,1,1,1,0.3333333333333333,0.3333333333333333,2361.0,78376.0,0.0
2016-05-31,121,ZH,3,677,20152,0,3,0,1.0,0.0,1,2,0,0.3333333333333333,0.6666666666666666,4356.0,943505.0,0.0
2016-05-31,121,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-06-30,151,ZG,3,83,2217,0,1,2,0.3333333333333333,0.6666666666666666,1,1,1,0.3333333333333333,0.3333333333333333,2361.0,78376.0,0.0
2016-06-30,151,ZH,3,677,20152,0,3,0,1.0,0.0,1,2,0,0.3333333333333333,0.6666666666666666,4356.0,943505.0,0.0
2016-06-30,151,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-07-31,182,ZG,4,105,3936,0,2,2,0.5,0.5,1,2,1,0.25,0.5,2361.0,78376.0,0.0
2016-07-31,182,ZH,4,682,21560,0,4,0,1.0,0.0,1,3,0,0.25,0.75,4356.0,943505.0,0.0
2016-07-31,182,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-08-31,213,ZG,7,151,16049,0,3,4,0.4285714285714285,0.5714285714285714,2,4,1,0.2857142857142857,0.5714285714285714,2361.0,78376.0,0.0
2016-08-31,213,ZH,4,682,21560,0,4,0,1.0,0.0,1,3,0,0.25,0.75,4356.0,943505.0,0.0
2016-08-31,213,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-09-30,243,ZG,8,152,16082,0,4,4,0.5,0.5,2,5,1,0.25,0.625,2361.0,78376.0,0.0
2016-09-30,243,ZH,4,682,21560,0,4,0,1.0,0.0,1,3,0,0.25,0.75,4356.0,943505.0,0.0
2016-09-30,243,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-10-31,274,ZG,8,152,16082,0,4,4,0.5,0.5,2,5,1,0.25,0.625,2361.0,78376.0,0.0
2016-10-31,274,ZH,5,689,21633,0,5,0,1.0,0.0,1,4,0,0.2,0.8,4356.0,943505.0,0.0
2016-10-31,274,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-11-30,304,ZG,10,154,16129,0,6,4,0.6,0.4,3,5,2,0.3,0.5,2361.0,78376.0,0.0
2016-11-30,304,ZH,5,689,21633,0,5,0,1.0,0.0,1,4,0,0.2,0.8,4356.0,943505.0,0.0
2016-11-30,304,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2016-12-31,335,ZG,10,154,16129,0,6,4,0.6,0.4,3,5,2,0.3,0.5,2361.0,78376.0,0.0
2016-12-31,335,ZH,6,690,21646,0,5,1,0.8333333333333334,0.1666666666666666,1,5,0,0.1666666666666666,0.8333333333333334,4356.0,943505.0,0.0
2016-12-31,335,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,305371.0,0.0
2017-01-31,366,ZG,10,154,16129,0,6,4,0.6,0.4,3,5,2,0.3,0.5,2361.0,79087.0,0.0
2017-01-31,366,ZH,6,690,21646,0,5,1,0.8333333333333334,0.1666666666666666,1,5,0,0.1666666666666666,0.8333333333333334,4356.0,952121.0,0.0
2017-01-31,366,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,309359.0,0.0
2017-02-28,394,ZG,10,154,16129,0,6,4,0.6,0.4,3,5,2,0.3,0.5,2361.0,79087.0,0.0
2017-02-28,394,ZH,6,690,21646,0,5,1,0.8333333333333334,0.1666666666666666,1,5,0,0.1666666666666666,0.8333333333333334,4356.0,952121.0,0.0
