canton,weights
AG,0.006746563594034226
AI,2.8998946715291197e-6
BE,4.609851615720758e-6
BL,0.3350323721663401
BS,3.1643066314696018e-6
GE,-1.4270261214663537e-6
GR,3.1049330523051264e-6
JU,3.3661906386808216e-6
LU,3.528998090611197e-6
NE,1.0917541122560456e-6
OW,2.4441431860972425e-6
SG,3.932872982053877e-6
SH,2.689974400919655e-6
SZ,1.2219511304021129e-6
TI,-3.1418192873538814e-6
UR,2.4290897460496688e-6
VD,3.5112826458215447e-6
VS,0.6582331772878356
ZG,-3.6625185892210813e-5
ZH,-8.914264410145322e-6
