canton,weights
AG,-7.682119112213531e-7
AI,0.41136483735833895
AR,0.2091526071489203
BE,-1.461726629422646e-6
BL,1.871989098475495e-7
BS,3.899198201602777e-7
FR,5.2717935020354e-8
GE,-2.3037039720542254e-7
GR,3.7284220837588417e-7
JU,0.243024298631173
LU,-1.7588343513747358e-7
NE,4.0824183973833205e-7
NW,0.13644094265147774
OW,6.746831362132643e-7
SG,-3.4071919621373113e-7
SH,6.136013222968919e-7
SO,1.757380655659607e-7
SZ,4.2862378335940513e-07
TG,1.5388855489581893e-7
TI,1.2346698955617156e-7
UR,1.966497271600193e-5
VD,-9.172036915885216e-7
VS,-5.442294557749197e-9
ZG,6.560894153378396e-7
ZH,-2.6882854653888536e-6
