month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
2016-01-31,0,ZG,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2361.0,78376.0,0.0
2016-01-31,0,ZH,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,4356.0,943505.0,0.0
2016-01-31,0,BE,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3180.9,622339.0,0.0
2016-01-31,0,LU,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2629.7,251486.0,0.0
2016-01-31,0,UR,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3004.4892,21652.0,0.0
2016-01-31,0,SZ,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3063.45,98333.0,0.0
2016-01-31,0,OW,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2726.3,23026.0,0.0
2016-01-31,0,NW,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2541.0,26417.0,0.0
2016-01-31,0,GL,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3362.0,24584.0,0.0
2016-01-31,0,FR,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3103.05,193603.0,0.0
2016-01-31,0,SO,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3331.65,166200.0,0.0
2016-01-31,0,BS,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,4857.0,121641.0,0.0
2016-01-31,0,BL,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3542.0,169564.0,0.0
2016-01-31,0,SH,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3383.0,48813.0,0.0
2016-01-31,0,AR,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3390.0,33434.0,0.0
2016-01-31,0,AI,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2838.0,9527.0,0.0
