canton,weights
AG,-2.619136627757366e-5
AI,3.6631590561020703e-4
AR,6.534547594951946e-4
BE,-2.6250867495414585e-4
BL,6.023742335199507e-4
BS,1.00078030504257
FR,3.039983220498553e-4
GE,1.2456873242647958e-4
GL,5.790994406829164e-4
GR,6.018073377447137e-4
LU,-3.7221954613567144e-5
NE,8.876987297449016e-5
NW,2.281652358627168e-4
OW,2.5184532157681303e-4
SG,2.718601137403626e-4
SH,5.047945286052531e-4
SO,4.4891392011796414e-4
SZ,1.1868033974379883e-4
TG,3.890048793521447e-4
TI,3.1413619676321885e-5
UR,3.5165731049297775e-4
VD,8.397651672212335e-5
VS,1.5519306937631627e-4
ZG,-0.0046726910649648795
ZH,-0.0019375854415538065
