canton,weights
AG,1.930530501870521e-4
AI,0.8624224977580567
AR,8.042196129821415e-5
BE,7.4984910266975e-5
BL,-1.767109964053712e-5
BS,-2.0952020623199086e-4
FR,2.1647277157841447e-4
GE,-5.626540999714575e-4
GL,1.5505508939607596e-4
GR,-3.745045011825188e-5
JU,-2.9755257433514295e-4
LU,0.10337249097494663
NE,1.8799157366585214e-4
OW,0.03531510291989474
SG,5.03566669867729e-5
SH,1.241448364751337e-4
SO,1.19823871727134e-4
SZ,2.0284750017149198e-4
TG,1.6836032527081703e-4
TI,-5.075708357152712e-4
UR,2.862494219198668e-4
VD,-1.7267714766158653e-4
VS,3.3590743286898266e-4
ZG,-5.94136889008463e-4
ZH,-9.065277613784026e-4
