canton,weights
AG,-1.3244191782386173e-5
AI,7.026162125601852e-5
AR,3.1137466224499616e-5
BE,-6.54559163324351e-5
BL,2.160272464753486e-6
BS,-3.17840617388354e-5
FR,2.949610456868326e-5
GE,-2.0165591335223935e-4
GL,4.1916077149854806e-5
GR,2.7258826902271708e-5
JU,-1.9373094862736927e-5
LU,5.2973273704468265e-5
NE,-2.5313338018787537e-5
NW,0.7302079725743056
SG,-1.673812395148513e-5
SH,0.2579096672850995
SO,2.0377567730455697e-5
SZ,-1.6417626764982365e-6
TG,2.623741485869669e-5
TI,-1.413302713465767e-4
UR,5.8893852243334315e-5
VD,-3.1150613435953765e-5
VS,4.377762260477461e-5
ZG,0.012138056415409194
ZH,-1.1249908465154089e-4
