canton,weights
AG,-2.5667791286676392e-6
AI,5.964196963578868e-7
BE,-7.750056053831533e-6
BL,1.2182886238228194e-5
BS,9.24877771503569e-6
FR,4.879334221225429e-6
GE,-4.452203672851619e-5
GR,0.039882005243163966
JU,0.31112687985603904
LU,2.251695739422263e-6
NE,-3.2353371583093376e-5
OW,0.626780173960871
SG,3.5907994562171946e-6
SZ,-2.0039196333670156e-5
TI,-2.7339609734754373e-5
UR,1.6306155335307816e-6
VD,0.010586477205843414
VS,1.155858408616606e-6
ZG,-1.1296988875383205e-5
ZH,0.011734795385481538
