canton,weights
AG,1.964634759565689e-4
AI,6.783301408223203e-8
AR,0.024062722037693555
BE,9.605532176408064e-8
BL,0.22985175177310108
BS,7.65412532394815e-8
FR,0.22358251858938477
GE,-5.110501378941002e-8
GL,7.385267252468092e-8
GR,7.333370451428602e-8
JU,0.10863964336350646
LU,7.6328694395434e-8
NE,1.7626076951367977e-8
NW,6.726248778582976e-8
OW,5.4769307402785654e-8
SG,8.851922933595416e-8
SH,6.295135913851743e-8
SZ,2.143208675828424e-8
TG,0.19763864585464974
TI,-9.667900483076584e-8
UR,5.52469091414746e-8
VD,7.353822749403187e-8
VS,0.21602882168693255
ZG,-1.0392390875460245e-6
ZH,-2.8505387561094083e-7
