canton,weights
AG,1.2881178876090053e-5
AI,0.002744133749977239
AR,0.026694933986134917
BE,5.398911905950286e-9
BL,0.1987028904953495
BS,4.80984757102975e-9
FR,0.2404605325375601
GE,-3.9344063610732505e-9
GL,0.017322498657387452
GR,4.8950250616773475e-9
JU,0.029791780031053636
LU,5.406532687196374e-9
NE,1.8300822881398623e-9
NW,0.026776420513431088
OW,4.5674458867638e-9
SG,5.537721164429275e-9
SH,4.647918101020144e-9
SO,0.19990028738038082
SZ,2.1356941535192843e-09
TI,-6.5358255194509176e-9
UR,4.458104776888191e-9
VD,4.005792978675232e-9
VS,0.25759369188435793
ZG,-6.669674483651563e-8
ZH,-2.0941346850095934e-8
