canton,weights
AG,-9.92241067888861e-7
AI,0.7309729455605621
AR,8.225644817630255e-6
BE,2.1096940268463266e-6
BL,6.791656253811496e-6
BS,-2.471189595111903e-7
FR,6.2034200882895716e-6
GE,-3.0598765115056416e-5
GL,0.19002982380177066
GR,0.03283343828383037
JU,0.011095682872347613
LU,0.021018533675622876
NE,-2.7049271196700653e-5
NW,7.853440855396182e-6
OW,3.3439014385623238e-6
SG,4.4701107410016565e-6
SH,3.3419469649089826e-6
SO,6.653824476970264e-6
SZ,3.0137361377155e-6
TG,6.550423054216547e-6
TI,5.8319750258765145e-6
VD,-3.1339925973446126e-7
VS,5.935768160341847e-6
ZG,0.014111910309174967
ZH,-7.345928396001891e-5
