canton,weights
AG,0.3134581177897015
AI,1.4666698578452266e-4
AR,1.067551705819216e-4
BE,1.8670065584311634e-4
BL,1.234307608907322e-4
BS,5.712963498849788e-5
FR,0.2455284268831312
GE,-1.9024231087120627e-4
GL,1.1691797684179131e-4
GR,8.800726962051458e-5
JU,4.701885400510843e-5
LU,1.8583012188696995e-4
NE,4.2986452078901086e-5
NW,0.4415398910231711
OW,1.3311970980993653e-4
SG,1.4303691272720767e-4
SH,9.832097384708119e-5
SO,1.454789133835228e-4
SZ,5.253303032675891e-5
TG,1.5441981878961297e-4
TI,-2.486030413557654e-4
UR,1.1539998463472874e-4
VD,9.370766657479077e-5
ZG,-0.0016042900080888798
ZH,-5.207612284139249e-4
