canton,weights
AG,-1.7593206821173282
AI,0.2226098999483028
AR,-0.6989102556914931
BE,-0.6083101144050588
BL,-1.6927166187727953
BS,-0.7122622111370486
FR,-1.1642280296382752
GE,0.7173376301230553
GL,-0.4394268679808612
GR,0.7440613527114688
JU,-1.8333557023537552
LU,1.783446754292853
NE,-0.40647637364352074
NW,0.4336250856646043
OW,1.5467326155655003
SG,-0.4935441655531009
SH,0.6913197777354717
SO,-1.286953576141389
SZ,-1.5980683036453607
TG,-1.1688813378430452
TI,2.179505556773697
UR,5.54651688444322
VD,0.7318408134494014
VS,-0.8797642372008981
ZH,1.1452221054161205
