canton,weights
AG,1.4370493479920585e-6
BE,-6.395125466211523e-7
BL,8.169746079155628e-5
BS,2.153687148283278e-6
FR,0.001245345133596389
GE,-1.3219186639712713e-6
GR,-1.4773764048118506e-7
JU,-0.0013594286325921499
LU,3.3575587038133046e-6
NE,1.4795619487515287e-6
OW,6.084506130280617e-4
SG,4.237258631052837e-6
SH,-6.063975585247939e-4
SZ,2.1099687370568263e-6
TI,-2.1369505538336687e-7
UR,3.922568947645843e-6
VD,1.0268857808347873e-7
VS,1.0000140305217748
ZG,-1.9102896624193976e-7
ZH,1.6012015937127037e-8
