canton,weights
AG,0.08255667327374593
AI,0.04918518121838431
AR,-0.02506338363262118
BE,0.3843632488660437
BL,-0.0475138400581337
BS,-0.039484640113183464
FR,0.016424108848105978
GE,0.48426627627446234
GL,-0.005194220227447087
GR,-0.09414020952808415
JU,-0.1266981573535155
LU,0.036996529118587404
NW,0.7730400911000453
OW,-0.03014680936172503
SG,-0.1652848558632998
SH,-0.09689802856293128
SO,-0.010503580925175483
SZ,-0.007442995441422019
TG,0.0027024985625406237
TI,-0.13302483384183092
UR,-0.14006320389806987
VD,-0.024998480643590205
VS,0.04895470862689041
ZG,-0.04865759056351085
ZH,0.11662551411089375
