canton,weights
AG,-0.08641121570115715
AI,-0.07768832196324488
AR,0.04932028985636365
BE,0.5377272627172505
BL,0.08772374333712359
BS,-0.36797183869269395
FR,-0.02164766540346573
GE,0.29416047843596116
GL,0.015332362040562424
GR,0.23775895006423228
JU,0.5984033651355507
LU,-0.14100683583125492
NE,-0.3066447606360556
NW,-0.12655374931746308
OW,-0.32394350763169066
SG,0.6271526915042357
SH,-0.20975975668547397
SO,0.02441448414372301
SZ,0.7648916639930954
TG,0.0018243394471041056
UR,-0.3860749274685302
VD,-0.184881136273787
VS,-0.07729407860029923
ZG,0.14376398017321085
ZH,-0.07259581663719056
