canton,weights
AG,-0.3597761480775932
AI,-0.20409607240971242
AR,-0.1490214387124571
BE,0.5246908747137906
BL,-0.13236858263548323
BS,0.42924381107863635
FR,-0.17979521132666
GE,0.42925564407343464
GL,-0.16375959424198827
GR,0.17317917178533507
JU,-0.07363280395317078
LU,-0.13274891487914842
NE,0.4398015386272998
NW,-0.22528554510316437
OW,0.8258518826524122
SG,-0.7537220499693595
SH,0.8753652830022827
SO,-0.15982132154646186
SZ,0.19169663845426735
TG,-0.16961706631141127
TI,-0.22615319426274152
UR,-1.2022732705062877
VD,1.1537518209874977
VS,-0.20392511700369237
ZG,0.2931596655629423
