canton,weights
AG,5.825870000546006e-9
AI,0.14199537412299162
BE,2.390739174522859e-9
BS,3.0676831670323134e-8
FR,0.2039606940549708
GE,-5.843114946082178e-9
GR,7.857223597209934e-9
JU,0.5116125507497365
LU,4.244100683287393e-9
NE,1.3793094685569902e-9
OW,-1.4024543217466713e-6
SG,8.665262553948057e-9
SH,1.4102166877522346e-6
SZ,6.6000742716160914e-9
TI,1.8873883968508824e-9
UR,7.841528886872442e-9
VD,6.5479039883592115e-9
VS,0.14243129721251943
ZG,-8.606215637538604e-10
ZH,-1.1156509006565802e-9
