canton,MSPE before the Treatment,MSPE after the Treatment,MSPE Ratio (R),Cutoff (c)
ZG,2.989653171,27.12797644,9.073954363,0
ZH,0.893633341,4.434171953,4.96195895,0
BE,0.098196216,0.47021358,4.788510197,0
LU,0.051766581,7.135044392,137.8310912,0
UR,0.016025646,1.322223411,82.50671576,0
SZ,0.066368494,0.826544378,12.45386662,0
OW,3.09E-17,0.499999985,1.62E+16,0
NW,1.78E-18,0.270576114,1.52E+17,0
GL,1.78E-18,0.270576114,1.52E+17,0
FR,1.78E-18,1.494855999,8.40E+17,0
SO,1.78E-18,0.270576114,1.52E+17,0
BS,0.020698729,0.754486889,36.45088041,0
BL,1.78E-18,0.167695484,9.43E+16,0
SH,3.09E-17,0.499999991,1.62E+16,0
AR,1.78E-18,0.270576114,1.52E+17,0
AI,1.78E-18,0.208847725,1.17E+17,0
SG,0.021495836,0.31277371,14.55043263,0
GR,0.044269287,0.68878974,15.55908824,0
AG,0.020478312,0.697877726,34.07887032,0
TG,1.78E-18,0.270576114,1.52E+17,0
TI,0.271104663,2.499911292,9.221203604,0
VD,0.117308599,4.554983002,38.82906323,0
VS,1.78E-18,2.760288093,1.55E+18,0
NE,0.154842806,3.30768609,21.36157426,0
GE,0.151738261,16.81954939,110.8458032,0
JU,1.78E-18,0.157407406,8.85E+16,0
ZG,3.075211977,16.26116479,5.287819153,1
ZH,0.89641184,6.143806354,6.853776448,1
BE,0.0979201,0.417215849,4.260778416,1
LU,0.051766779,6.891098907,133.1181711,1
UR,0.016092854,2.555003433,158.7663325,1
SZ,0.066232067,1.161047686,17.52999335,1
OW,5.09E-17,0.499999971,9.83E+15,1
FR,6.72E-18,0.692708412,1.03E+17,1
BS,0.023654379,1.362738286,57.61040129,1
BL,6.72E-18,0.197916635,2.95E+16,1
SH,5.09E-17,0.499999998,9.83E+15,1
AI,6.72E-18,1.018229027,1.52E+17,1
SG,0.02144551,0.817228309,38.1071993,1
GR,0.044269402,0.72277047,16.32663744,1
AG,0.020450963,1.375205946,67.24406845,1
TI,0.269288766,2.53115516,9.399408672,1
VD,0.117308952,4.148425429,35.36324687,1
VS,6.72E-18,1.877604241,2.80E+17,1
NE,0.153924596,3.326924614,21.6139896,1
GE,0.151969815,18.04508924,118.741273,1
JU,6.72E-18,0.562499914,8.38E+16,1
ZG,6.270118107,33.4458821,5.334170988,2
ZH,0.941090787,109.587963,116.447812,2
