,name,founding date,canton,sector
0,Tech Bureau Europe SA,29.12.17,ZG,IT Services and IT Consulting
1,Bitkern Group AG,21.12.21,ZG,IT Services and IT Consulting
2,Nerve Global GmbH,22.03.21,ZG,Entertainment Providers
3,JayBee AG,17.10.17,ZG,Financial Services
4,PTGR AG,02.08.22,ZG,Financial Services
5,Validity Labs AG,26.07.16,ZH,IT Services and IT Consulting
6,21e6 Capital AG,10.06.21,ZH,Financial Services
7,Swiss Blockchain Academy GmbH,30.11.20,ZH,"Technology, Information and Internet"
8,PWN AG,14.09.21,ZG,Software Development
9,Mubiz SA,02.03.22,VD,Software Development
10,MyMultiMiner GmbH,19.10.17,ZH,Computer Networking Products
11,Old School GmbH,03.01.16,ZG,Software Development
12,CoinSmart AG,01.11.22,ZG,Business Consulting and Services
13,Perpetual Block AG,18.05.21,ZG,Information Technology & Services
14,Blockchain Valley Ventures AG,16.03.18,ZG,Financial Services
15,Securosys SA,18.04.16,ZH,Computer Networking Products
16,Minimaei Häni Baudesign,29.06.20,ZG,Software Development
17,Genius Yield Association,21.12.21,ZG,"Technology, Information and Internet"
18,BRD GmbH,04.02.20,ZH,Software Development
19,GainBlock AG,17.09.18,SZ,IT Services and IT Consulting
20,BitBar AG,02.02.23,ZH,Fabricated Metal Products
21,Ibex Labs AG,27.04.22,ZH,IT Services and IT Consulting
22,Cointract AG,11.06.20,LU,Financial Services
23,Aument AG,11.04.20,ZG,Financial Services
24,VertexA AG,06.08.21,ZG,Financial Services
25,Kate Vass Galerie GmbH,05.05.17,ZH,Arts & Crafts
26,SWIC Digital Gateway AG,11.02.20,ZH,Financial Services
27,Olympia Consulting Partners Sàrl,27.09.17,GE,Financial Services
28,Flat Flip GmbH,27.05.22,ZH,Real Estate and Equipment Rental Services
29,LBB Carrelage Sàrl,09.06.22,ZH,Financial Services
30,Crypto Alley Consulting GmbH,07.03.20,ZG,
31,Glassnode AG,29.06.18,ZG,Information Services
32,Mt Pelerin Group SA,10.02.18,NE,Financial Services
33,Wyden AG,25.05.16,ZH,Information Technology & Services
34,YouHodler SA,09.03.19,VD,Financial Services
35,CV VC AG,19.01.18,ZG,Venture Capital and Private Equity Principals
36,Aragon AG Bauelemente,10.10.17,ZG,Software Development
37,Kashet Group AG,05.08.18,ZG,Financial Services
38,Tiberius Technology Ventures AG,29.12.17,ZG,Financial Services
39,WhatRocks Foundation,24.06.19,GE,Philanthropic Fundraising Services
40,Tatoshi AG,13.06.18,ZG,Software Development
41,SingleBroker GmbH,05.11.21,ZG,Financial Services
42,LM Media Group Bonvin,15.02.21,VS,Marketing Services
43,acture capital GmbH,04.09.18,ZH,Financial Services
44,88mph Foundation,23.03.22,GE,Financial Services
45,Spicyfi GmbH,15.11.21,ZG,Blockchain Services
46,Bravis GmbH,25.03.22,ZH,Financial Services
47,Rubicon Studio SA,30.04.18,TI,Business Consulting and Services
48,OXI-ZEN Solutions GmbH,24.01.19,ZG,IT Services and IT Consulting
49,StokenX Sàrl,15.03.21,VD,Financial Services
50,Btex SA,30.12.21,TI,IT Services and IT Consulting
51,Toucan AG,06.12.20,ZG,Financial Services
52,Taurus SA,04.06.18,GE,Financial Services
53,QoinIQ GmbH,17.01.20,ZH,Financial Services
54,Lüthi Crypto Advice GmbH,07.02.21,ZG,IT Services and IT Consulting
55,CRYPTO VALLEY PARTNERS AG,03.06.18,ZG,Venture Capital and Private Equity Principals
56,Crypto Solutions Sàrl,16.05.22,JU,Blockchain Services
57,Crypto International AG,01.08.18,ZG,IT Services and IT Consulting
58,ASTOG-Energy GmbH,13.10.22,AI,Oil and Gas
59,Blockchain ventures GmbH,04.06.17,TI,Blockchain Services
60,Moranda AG in Liquidation,29.06.17,ZG,Venture Capital and Private Equity Principals
61,dloop AG,15.05.18,ZG,Artists and Writers
